"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5399","TC-018 - Cliquer sur Proceed to checkout","firefox","2026-08-10","passed","2026-08-10","Proceed to checkout","Sprint_3___Panier/automatisation/tests/proceed-checkout.spec.ts","",""
"","8271","TC-015 - Message de confirmation affiché après Confirm","chromium","2026-08-10","passed","2026-08-10","Confirmation de commande","Sprint_4___Checkout/automatisation/tests/confirmation.spec.ts","",""
"","8717","TC-011 - Sélectionner une méthode de paiement valide","firefox","2026-08-10","passed","2026-08-10","Méthode de paiement","Sprint_4___Checkout/automatisation/tests/payment-method.spec.ts","",""
"","1589","TC-018 - Élément propre à /account affiché après login","chromium","2026-08-10","passed","2026-08-10","Login","Sprint_1___Access-management/automatisation/tests/login.spec.ts","",""
"","5046","TC-005 - Vérifier la présence des 5 champs obligatoires","chromium","2026-08-10","passed","2026-08-10","Billing Address","Sprint_4___Checkout/automatisation/tests/billing-address.spec.ts","",""
"","3508","TC-009 - Mot de passe 10 caractères","firefox","2026-08-10","passed","2026-08-10","Register","Sprint_1___Access-management/automatisation/tests/register.spec.ts","",""
"","5605","TC-001 - Vérifier la présence de la barre de recherche","firefox","2026-08-10","passed","2026-08-10","Recherche produit","Sprint_2___Catalogue/automatisation/tests/search.spec.ts","",""
"","1053","TC-001 - Vérifier la présence de la barre de recherche","chromium","2026-08-10","passed","2026-08-10","Recherche produit","Sprint_2___Catalogue/automatisation/tests/search.spec.ts","",""
"","7145","TC-008 - Mot de passe 9 caractères","chromium","2026-08-10","failed","2026-08-10","Register","Sprint_1___Access-management/automatisation/tests/register.spec.ts","",""
"","7200","TC-014 - Supprimer un produit parmi plusieurs","firefox","2026-08-10","failed","2026-08-10","Suppression panier","Sprint_3___Panier/automatisation/tests/delete.spec.ts","",""
"","6807","TC-017 - Nav catégorie valide (redirection correcte)","chromium","2026-08-10","failed","2026-08-10","Filtre par catégorie","Sprint_2___Catalogue/automatisation/tests/category.spec.ts","",""
"","1797","TC-024 - Cocher eco-friendly - seuls produits éco affichés","chromium","2026-08-10","failed","2026-08-10","Filtre par marque et Sustainability","Sprint_2___Catalogue/automatisation/tests/brand.spec.ts","",""
"","5873","TC-009 - Vérifier la présence du select de méthode de paiement","chromium","2026-08-10","passed","2026-08-10","Méthode de paiement","Sprint_4___Checkout/automatisation/tests/payment-method.spec.ts","",""
"","1923","TC-021 - Email inexistant","chromium","2026-08-10","passed","2026-08-10","Forgot your password","Sprint_1___Access-management/automatisation/tests/forgot-password.spec.ts","",""
"","3475","TC-007 - Modifier la quantité (mise à jour correcte)","chromium","2026-08-10","passed","2026-08-10","Quantité panier","Sprint_3___Panier/automatisation/tests/quantity-cart.spec.ts","",""
"","8705","TC-012 - Vérifier la présence des champs Account name et Account number","firefox","2026-08-10","passed","2026-08-10","Informations de paiement","Sprint_4___Checkout/automatisation/tests/payment-info.spec.ts","",""
"","3519","TC-023 - Vérifier la présence du bouton de déconnexion","firefox","2026-08-10","passed","2026-08-10","Logout","Sprint_1___Access-management/automatisation/tests/logout.spec.ts","",""
"","6078","TC-025 - Session détruite après logout","firefox","2026-08-10","passed","2026-08-10","Logout","Sprint_1___Access-management/automatisation/tests/logout.spec.ts","",""
"","7401","TC-027 - Nom de l'utilisateur affiché dans le menu après connexion","firefox","2026-08-10","failed","2026-08-10","Menu utilisateur connecté","Sprint_1___Access-management/automatisation/tests/navbar.spec.ts","",""
"","3189","TC-026 - Accès /account après logout","chromium","2026-08-10","passed","2026-08-10","Logout","Sprint_1___Access-management/automatisation/tests/logout.spec.ts","",""
"","1559","TC-012 - Login avec email inexistant","chromium","2026-08-10","passed","2026-08-10","Login","Sprint_1___Access-management/automatisation/tests/login.spec.ts","",""
"","3146","TC-017 - Vérifier la présence du bouton Proceed to checkout","chromium","2026-08-10","passed","2026-08-10","Proceed to checkout","Sprint_3___Panier/automatisation/tests/proceed-checkout.spec.ts","",""
"","6923","TC-009 - Vérifier la présence du select de méthode de paiement","firefox","2026-08-10","passed","2026-08-10","Méthode de paiement","Sprint_4___Checkout/automatisation/tests/payment-method.spec.ts","",""
"","1322","TC-018 - Aucune catégorie UNDEFINED dans l'interface","chromium","2026-08-10","failed","2026-08-10","Filtre par catégorie","Sprint_2___Catalogue/automatisation/tests/category.spec.ts","",""
"","9022","TC-014 - Champs remplis (accès à la confirmation)","chromium","2026-08-10","passed","2026-08-10","Informations de paiement","Sprint_4___Checkout/automatisation/tests/payment-info.spec.ts","",""
"","3053","TC-005 - Register avec champs obligatoires vides","firefox","2026-08-10","passed","2026-08-10","Register","Sprint_1___Access-management/automatisation/tests/register.spec.ts","",""
"","4432","TC-011 - Tri CO₂ Rating (Best First)","firefox","2026-08-10","passed","2026-08-10","Tri des produits","Sprint_2___Catalogue/automatisation/tests/sort.spec.ts","",""
"","3992","TC-003 - Recherche avec terme inexistant","firefox","2026-08-10","passed","2026-08-10","Recherche produit","Sprint_2___Catalogue/automatisation/tests/search.spec.ts","",""
"","4163","TC-012 - Tri CO₂ Rating (Worst First)","firefox","2026-08-10","passed","2026-08-10","Tri des produits","Sprint_2___Catalogue/automatisation/tests/sort.spec.ts","",""
"","3664","TC-036 - Produit apparaît dans la liste des favoris","chromium","2026-08-10","passed","2026-08-10","Add to favourites","Sprint_2___Catalogue/automatisation/tests/favourites.spec.ts","",""
"","7495","TC-016 - Supprimer le dernier produit","firefox","2026-08-10","failed","2026-08-10","Suppression panier","Sprint_3___Panier/automatisation/tests/delete.spec.ts","",""
"","4779","TC-007 - Champs obligatoires vides","chromium","2026-08-10","passed","2026-08-10","Billing Address","Sprint_4___Checkout/automatisation/tests/billing-address.spec.ts","",""
"","5529","TC-009 - Quantité négative (soumission bloquée)","firefox","2026-08-10","failed","2026-08-10","Quantité panier","Sprint_3___Panier/automatisation/tests/quantity-cart.spec.ts","",""
"","1362","TC-004 - Register avec email mal formaté","chromium","2026-08-10","passed","2026-08-10","Register","Sprint_1___Access-management/automatisation/tests/register.spec.ts","",""
"","2827","TC-006 - Vérifier la présence du select de tri","firefox","2026-08-10","passed","2026-08-10","Tri des produits","Sprint_2___Catalogue/automatisation/tests/sort.spec.ts","",""
"","6838","TC-026 - Modifier valeur min - produits filtrés correctement","firefox","2026-08-10","failed","2026-08-10","Filtre par fourchette de prix","Sprint_2___Catalogue/automatisation/tests/price.spec.ts","",""
"","3420","TC-018 - Cliquer sur Proceed to checkout","chromium","2026-08-10","passed","2026-08-10","Proceed to checkout","Sprint_3___Panier/automatisation/tests/proceed-checkout.spec.ts","",""
"","3618","TC-028 - Option de déconnexion visible dans le menu","firefox","2026-08-10","passed","2026-08-10","Menu utilisateur connecté","Sprint_1___Access-management/automatisation/tests/navbar.spec.ts","",""
"","8523","TC-008 - Formulaire complet (passage vers Payment)","firefox","2026-08-10","passed","2026-08-10","Billing Address","Sprint_4___Checkout/automatisation/tests/billing-address.spec.ts","",""
"","11627","TC-014 - Champs remplis (accès à la confirmation)","firefox","2026-08-10","passed","2026-08-10","Informations de paiement","Sprint_4___Checkout/automatisation/tests/payment-info.spec.ts","",""
"","4320","TC-007 - Tri des noms de produits (A-Z)","firefox","2026-08-10","failed","2026-08-10","Tri des produits","Sprint_2___Catalogue/automatisation/tests/sort.spec.ts","",""
"","6394","TC-036 - Produit apparaît dans la liste des favoris","firefox","2026-08-10","passed","2026-08-10","Add to favourites","Sprint_2___Catalogue/automatisation/tests/favourites.spec.ts","",""
