"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7402","TC-017 - Nav catégorie valide (redirection correcte)","firefox","2026-08-18","failed","2026-08-18","Filtre par catégorie","Sprint_2___Catalogue/automatisation/tests/category.spec.ts","",""
"","2005","TC-010 - Mot de passe 11 caractères","chromium","2026-08-18","passed","2026-08-18","Register","Sprint_1___Access-management/automatisation/tests/register.spec.ts","",""
"","4870","TC-004 - Register depuis le checkout (redirection vers Billing Address)","chromium","2026-08-18","failed","2026-08-18","Sign In dans le checkout","Sprint_4___Checkout/automatisation/tests/signin.spec.ts","",""
"","4482","TC-036 - Produit apparaît dans la liste des favoris","chromium","2026-08-18","passed","2026-08-18","Add to favourites","Sprint_2___Catalogue/automatisation/tests/favourites.spec.ts","",""
"","6648","TC-013 - Champs vides","chromium","2026-08-18","passed","2026-08-18","Informations de paiement","Sprint_4___Checkout/automatisation/tests/payment-info.spec.ts","",""
"","1533","TC-002 - Recherche avec terme valide","chromium","2026-08-18","passed","2026-08-18","Recherche produit","Sprint_2___Catalogue/automatisation/tests/search.spec.ts","",""
"","1998","TC-028 - Option de déconnexion visible dans le menu","chromium","2026-08-18","passed","2026-08-18","Menu utilisateur connecté","Sprint_1___Access-management/automatisation/tests/navbar.spec.ts","",""
"","6077","TC-009 - Vérifier la présence du select de méthode de paiement","chromium","2026-08-18","passed","2026-08-18","Méthode de paiement","Sprint_4___Checkout/automatisation/tests/payment-method.spec.ts","",""
"","944","TC-001 - Vérifier la présence de la barre de recherche","chromium","2026-08-18","passed","2026-08-18","Recherche produit","Sprint_2___Catalogue/automatisation/tests/search.spec.ts","",""
"","3384","TC-024 - Cocher eco-friendly - seuls produits éco affichés","firefox","2026-08-18","failed","2026-08-18","Filtre par marque et Sustainability","Sprint_2___Catalogue/automatisation/tests/brand.spec.ts","",""
"","7884","TC-009 - Vérifier la présence du select de méthode de paiement","firefox","2026-08-18","passed","2026-08-18","Méthode de paiement","Sprint_4___Checkout/automatisation/tests/payment-method.spec.ts","",""
"","3930","TC-019 - Lien Forgot your password visible sur la page Login","firefox","2026-08-18","passed","2026-08-18","Forgot your password","Sprint_1___Access-management/automatisation/tests/forgot-password.spec.ts","",""
"","1346","TC-019 - Vérifier la présence des checkboxes de marques","firefox","2026-08-18","passed","2026-08-18","Filtre par marque et Sustainability","Sprint_2___Catalogue/automatisation/tests/brand.spec.ts","",""
"","2145","TC-017 - Login réussi > redirection /account","firefox","2026-08-18","passed","2026-08-18","Login","Sprint_1___Access-management/automatisation/tests/login.spec.ts","",""
"","1664","TC-013 - Login avec mauvais mot de passe","chromium","2026-08-18","passed","2026-08-18","Login","Sprint_1___Access-management/automatisation/tests/login.spec.ts","",""
"","4055","TC-016 - Décocher une catégorie","firefox","2026-08-18","passed","2026-08-18","Filtre par catégorie","Sprint_2___Catalogue/automatisation/tests/category.spec.ts","",""
"","2873","TC-018 - Aucune catégorie UNDEFINED dans l'interface","firefox","2026-08-18","failed","2026-08-18","Filtre par catégorie","Sprint_2___Catalogue/automatisation/tests/category.spec.ts","",""
"","4463","TC-004 - Ajouter plusieurs produits différents","firefox","2026-08-18","passed","2026-08-18","Add to cart","Sprint_3___Panier/automatisation/tests/add-to-cart.spec.ts","",""
"","3011","TC-031 - Cliquer sur - (quantité décrémente de 1)","chromium","2026-08-18","failed","2026-08-18","Sélecteur de quantité (page produit)","Sprint_2___Catalogue/automatisation/tests/quantity.spec.ts","",""
"","1919","TC-002 - Recherche avec terme valide","firefox","2026-08-18","passed","2026-08-18","Recherche produit","Sprint_2___Catalogue/automatisation/tests/search.spec.ts","",""
"","3385","TC-009 - Tri Price (High-Low)","firefox","2026-08-18","failed","2026-08-18","Tri des produits","Sprint_2___Catalogue/automatisation/tests/sort.spec.ts","",""
"","3728","TC-009 - Mot de passe 10 caractères","firefox","2026-08-18","passed","2026-08-18","Register","Sprint_1___Access-management/automatisation/tests/register.spec.ts","",""
"","3051","TC-013 - Vérifier la présence du bouton de suppression","chromium","2026-08-18","passed","2026-08-18","Suppression panier","Sprint_3___Panier/automatisation/tests/delete.spec.ts","",""
"","1999","TC-029 - Vérifier présence du sélecteur de quantité","chromium","2026-08-18","passed","2026-08-18","Sélecteur de quantité (page produit)","Sprint_2___Catalogue/automatisation/tests/quantity.spec.ts","",""
"","3842","TC-004 - Recherche vide","firefox","2026-08-18","passed","2026-08-18","Recherche produit","Sprint_2___Catalogue/automatisation/tests/search.spec.ts","",""
"","1488","TC-002 - Register avec données valides","chromium","2026-08-18","passed","2026-08-18","Register","Sprint_1___Access-management/automatisation/tests/register.spec.ts","",""
"","1732","TC-005 - Bouton de recherche présent","chromium","2026-08-18","passed","2026-08-18","Recherche produit","Sprint_2___Catalogue/automatisation/tests/search.spec.ts","",""
"","3137","TC-004 - Register avec email mal formaté","firefox","2026-08-18","passed","2026-08-18","Register","Sprint_1___Access-management/automatisation/tests/register.spec.ts","",""
"","4523","TC-014 - Supprimer un produit parmi plusieurs","chromium","2026-08-18","failed","2026-08-18","Suppression panier","Sprint_3___Panier/automatisation/tests/delete.spec.ts","",""
"","3528","TC-017 - Vérifier la présence du bouton Proceed to checkout","firefox","2026-08-18","passed","2026-08-18","Proceed to checkout","Sprint_3___Panier/automatisation/tests/proceed-checkout.spec.ts","",""
"","2847","TC-023 - Vérifier la présence du bouton de déconnexion","firefox","2026-08-18","passed","2026-08-18","Logout","Sprint_1___Access-management/automatisation/tests/logout.spec.ts","",""
"","998","TC-006 - Vérifier la présence du select de tri","chromium","2026-08-18","passed","2026-08-18","Tri des produits","Sprint_2___Catalogue/automatisation/tests/sort.spec.ts","",""
"","5176","TC-005 - Ajouter le même produit plusieurs fois","firefox","2026-08-18","failed","2026-08-18","Add to cart","Sprint_3___Panier/automatisation/tests/add-to-cart.spec.ts","",""
"","5571","TC-004 - Register depuis le checkout (redirection vers Billing Address)","firefox","2026-08-18","failed","2026-08-18","Sign In dans le checkout","Sprint_4___Checkout/automatisation/tests/signin.spec.ts","",""
"","6408","TC-027 - Modifier valeur max - produits filtrés correctement","firefox","2026-08-18","failed","2026-08-18","Filtre par fourchette de prix","Sprint_2___Catalogue/automatisation/tests/price.spec.ts","",""
"","5660","TC-007 - Champs obligatoires vides","firefox","2026-08-18","passed","2026-08-18","Billing Address","Sprint_4___Checkout/automatisation/tests/billing-address.spec.ts","",""
"","2134","TC-012 - Tri CO₂ Rating (Worst First)","chromium","2026-08-18","passed","2026-08-18","Tri des produits","Sprint_2___Catalogue/automatisation/tests/sort.spec.ts","",""
"","4574","TC-016 - Supprimer le dernier produit","firefox","2026-08-18","failed","2026-08-18","Suppression panier","Sprint_3___Panier/automatisation/tests/delete.spec.ts","",""
